name_hotel,location_hotel,Free_Wifi_hotel,rating_hotel_num,rating_hotel_text,rating_hotel_qty,normal_price_hotel,discount_hotel,discount_price_hotel,reward_point_hotel,room,date
RedDoorz Plus @ TB Simatupang,Jakarta Selatan,Free Wifi,8.6,Luar Biasa,26,540.947,5,436.815,349,1,08-12-2021
OYO 3300 Nadjara Residence Syariah,Jakarta Selatan,Free Wifi,5.1,,5.1,188.195,5,139.453,111,1,08-12-2021
RedDoorz near Kebayoran Baru Blok S,Jakarta Selatan,Free Wifi,7.4,Sangat Baik,2,315.789,5,300.000,240,1,08-12-2021
Picasso Style,Jakarta Barat,Free Wifi,9.6,Istimewa,4,555.789,5,528.000,422,1,08-12-2021
favehotel Melawai,Jakarta Selatan,Free Wifi,8.4,Luar Biasa,239,664.615,35,432.000,345,1,08-12-2021
RedDoorz @ Panglima Polim 2,Jakarta Selatan,Free Wifi,7.2,Sangat Baik,2,316.000,5,279.186,223,1,08-12-2021
OYO Townhouse 1 Hotel Salemba Near RS PGI Cikini,Jakarta Pusat,Free Wifi,7.7,Sangat Baik,20,344.991,5,255.639,204,1,08-12-2021
Bobobox Pods Pancoran,Jakarta Selatan,Free Wifi,9.4,Istimewa,8,226.336,5,215.020,172,1,08-12-2021
RedDoorz near Pasar Baru 3,Jakarta Pusat,Free Wifi,7.7,Sangat Baik,10,322.105,5,168.300,134,1,08-12-2021
RedDoorz Plus near Dunia Fantasi Ancol,Jakarta Utara,Free Wifi,9.3,Istimewa,12,359.100,5,341.145,272,1,08-12-2021
Cool Living,Jakarta Pusat,Free Wifi,9.2,Istimewa,9,382.816,5,363.676,290,1,08-12-2021
RedDoorz Plus near Ancol,Jakarta Utara,Free Wifi,9.4,Istimewa,39,470.250,5,245.706,196,1,08-12-2021
RedDoorz Plus near GBK Senayan,Jakarta Barat,Free Wifi,9.4,Istimewa,18,303.947,5,288.750,231,1,08-12-2021
Residence 100,Jakarta Pusat,Free Wifi,7.7,Sangat Baik,25,225.000,31,155.000,124,1,08-12-2021
Bobobox Pods Kebayoran Baru,Jakarta Selatan,Free Wifi,9.6,Istimewa,7,320.000,32,218.450,174,1,08-12-2021
Bale Resident,Jakarta Selatan,Free Wifi,7.7,Sangat Baik,3,450.000,16,209.000,167,1,08-12-2021
The Kuningan Suites,Jakarta Selatan,Free Wifi,8.5,Luar Biasa,6,3.035.000,34,1.400.000,1120,1,08-12-2021
Ra Premiere Simatupang,Jakarta Selatan,Free Wifi,9.2,Istimewa,18,1.025.615,35,666.650,533,1,08-12-2021
RedDoorz near Binus Anggrek 2,Jakarta Barat,Free Wifi,9.6,Istimewa,2,227.368,5,216.000,172,1,08-12-2021
RedDoorz Plus near Lippo Mall Kemang 2,Jakarta Selatan,Free Wifi,8.9,Luar Biasa,6,356.863,5,322.069,257,1,08-12-2021
RedDoorz near Hayam Wuruk,Jakarta Barat,Free Wifi,6.2,,6.2,186.157,5,176.850,141,1,08-12-2021
RedDoorz near Tarumanagara University,Jakarta Barat,Free Wifi,8.3,Luar Biasa,9,287.368,5,150.150,120,1,08-12-2021
RedDoorz Plus near Senen,Jakarta Pusat,Free Wifi,5.9,,5.9,245.737,5,128.398,102,1,08-12-2021
RedDoorz Plus near Radio Dalam 3,Jakarta Selatan,Free Wifi,7.4,Sangat Baik,9,265.473,5,221.936,177,1,08-12-2021
RedDoorz Plus @ Cideng Barat,Jakarta Pusat,Free Wifi,8.9,Luar Biasa,225,353.225,5,184.560,147,1,08-12-2021
Smart Hotel Thamrin ,Jakarta Pusat,Free Wifi,6.8,Baik,135,395.384,35,239.010,191,1,08-12-2021
Capital O 203 Prasada Mansion Sudirman,Jakarta Selatan,Free Wifi,8.4,Luar Biasa,6,362.049,5,268.279,214,1,08-12-2021
Apartemen Bassura City by Aparian,Jakarta Timur,Free Wifi,8.6,Luar Biasa,123,379.473,5,360.500,288,1,08-12-2021
Coin's Hotel ,Jakarta Utara,Free Wifi,9.0,Luar Biasa,42,473.264,5,332.705,266,1,08-12-2021
RedDoorz Plus @ Grogol ,Jakarta Barat,Free Wifi,9.6,Istimewa,2,288.177,5,150.573,120,1,08-12-2021
RedDoorz near Plaza Atrium Senen,Jakarta Pusat,Free Wifi,9.5,Istimewa,11,455.258,5,237.873,190,1,08-12-2021
Kantos Guest House,Jakarta Pusat,Free Wifi,9.0,Luar Biasa,93,269.076,35,174.900,139,1,08-12-2021
Sans Hotel Fiducia Pondok Gede,Jakarta Timur,Free Wifi,6.1,,6.1,557.810,5,291.456,233,1,08-12-2021
RedDoorz near RSUD Koja,Jakarta Utara,Free Wifi,8.9,Luar Biasa,6,242.895,5,219.213,175,1,08-12-2021
RedDoorz @ Jalan Jaksa,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,44,251.843,5,131.588,105,1,08-12-2021
La Boheme Rooms and Coffee,Jakarta Selatan,Free Wifi,9.4,Istimewa,4,1.000.000,24,765.000,612,1,08-12-2021
RedDoorz Plus @ Kelapa Dua Kebon Jeruk,Jakarta Barat,Free Wifi,8.0,Sangat Baik,56,341.052,5,178.200,142,1,08-12-2021
RedDoorz Plus @ Setiabudi Tengah,Jakarta Selatan,Free Wifi,8.4,Luar Biasa,61,331.578,5,277.200,221,1,08-12-2021
Kantos Roxy Mas,Jakarta Barat,Free Wifi,9.7,Istimewa,16,136.736,5,129.900,103,1,08-12-2021
OYO 1868 J&b Room Pramuka Near RSUPN Dr.Cipto Mangunkusumo,Jakarta Timur,Free Wifi,5.8,,5.8,226.690,5,167.978,134,1,08-12-2021
RedDoorz Plus near Mangga Besar Station 2,Jakarta Barat,Free Wifi,7.2,Sangat Baik,8,282.173,5,147.436,117,1,08-12-2021
"Benoa Sea Suites and VillasBadung, 
 
 
 ",Badung,Free Wifi,10I,stimewa,1,1.307.368,5,409.860,327,1,08-12-2021
"Quest San Denpasar by ASTONDenpasar, 
 
 
 ",Denpasar,Free Wifi,8.6,Luar Biasa,46,197.740,5,187.853,150,1,08-12-2021
"Grand Livio Kuta HotelBadung, 
 
 
 ",Badung,Free Wifi,9.5,Istimewa,43,894.736,5,229.500,183,1,08-12-2021
"Sense Hotel SeminyakBadung, 
 
 
 ",Badung,Free Wifi,7.6,Sangat Baik,7,1.258.947,5,203.320,162,1,08-12-2021
"Paragon Hotel SeminyakBadung, 
 
 
 ",Badung,Free Wifi,8.8,Luar Biasa,5,747.863,35,296.528,237,1,08-12-2021
Movenpick Resort & Spa Jimbaran ,Badung,Free Wifi,8.6,Luar Biasa,2,1.640.505,5,1.558.480,1246,1,08-12-2021
